merchant_id,category,application_date,category_review_days,handoff_wait_days,doc_verification_days,doc_rework_days,compliance_approval_days,catalog_setup_days,doc_rejections,total_ttm_days,sla_breach,status
M100000,Home & Kitchen,2025-06-18,1.6,2.5,3.8,2.6,2.6,4.1,2,17.2,1,Live
M100001,Toys,2025-07-20,1.7,6.4,1.4,3.8,1.4,5.4,2,20.1,1,Live
M100002,Fashion,2025-07-02,0.7,6.8,1.9,0.0,1.4,0.4,0,11.2,0,Live
M100003,Toys,2025-10-18,0.3,3.2,1.6,0.0,0.7,1.3,0,7.1,0,Live
M100004,Electronics,2025-04-03,1.0,3.0,3.8,0.0,0.3,3.7,0,11.8,0,Live
M100005,Electronics,2025-06-20,3.1,6.8,1.5,0.0,1.1,7.8,0,20.4,1,Live
M100006,Grocery,2025-10-08,2.3,4.2,0.8,4.0,1.5,1.3,3,14.1,1,Live
M100007,Electronics,2025-07-22,1.6,8.1,2.6,3.0,2.3,2.5,3,20.1,1,Live
M100008,Home & Kitchen,2025-08-24,0.8,2.6,0.6,1.1,0.9,2.8,1,8.9,0,Live
M100009,Fashion,2025-08-25,2.4,1.4,3.1,1.9,1.0,3.1,2,12.9,0,Live
M100010,Beauty,2025-05-25,2.2,3.4,1.6,0.0,2.5,0.4,0,10.2,0,Live
M100011,Home & Kitchen,2025-01-28,0.6,3.5,0.6,0.0,2.3,1.1,0,8.1,0,Live
M100012,Electronics,2025-08-04,1.4,2.7,4.0,0.0,1.1,2.4,0,11.6,0,Live
M100013,Beauty,2025-01-19,1.2,4.6,0.6,2.2,2.7,2.3,1,13.7,0,Live
M100014,Electronics,2025-05-02,1.3,1.9,1.8,1.6,0.5,3.3,2,10.4,0,Live
M100015,Electronics,2025-01-11,2.2,13.8,0.8,0.0,2.3,3.1,0,22.2,1,Live
M100016,Fashion,2025-06-07,2.0,1.0,2.0,2.1,2.1,1.0,3,10.1,0,Live
M100017,Electronics,2025-02-05,0.7,6.2,1.7,1.5,1.5,3.8,1,15.5,1,Live
M100018,Fashion,2025-10-15,1.3,15.2,1.7,10.7,1.5,2.0,2,32.4,1,Stuck
M100019,Fashion,2025-03-26,1.1,3.3,4.7,3.4,1.5,1.4,3,15.5,1,Live
M100020,Beauty,2025-11-25,2.3,2.6,0.8,0.0,2.1,3.7,0,11.5,0,Live
M100021,Electronics,2025-01-16,2.3,13.0,0.8,0.0,1.2,0.9,0,18.1,1,Live
M100022,Electronics,2025-04-04,1.7,3.7,1.9,3.4,1.2,3.3,1,15.1,1,Live
M100023,Toys,2025-07-16,0.7,3.4,1.8,0.0,1.1,5.2,0,12.1,0,Live
M100024,Toys,2025-04-26,1.9,2.3,1.1,2.3,1.5,0.5,2,9.5,0,Live
M100025,Beauty,2025-07-08,0.6,4.0,2.6,1.6,1.2,0.6,1,10.6,0,Live
M100026,Home & Kitchen,2025-04-15,1.7,8.2,1.0,0.0,1.1,0.4,0,12.4,0,Live
M100027,Fashion,2025-05-31,0.9,2.2,0.9,2.4,0.6,0.9,1,7.9,0,Live
M100028,Fashion,2025-03-12,1.0,0.4,0.8,0.0,2.4,4.0,0,8.6,0,Live
