merchant_id,category,application_date,category_review_days,handoff_wait_days,doc_verification_days,doc_rework_days,compliance_approval_days,catalog_setup_days,doc_rejections,total_ttm_days,sla_breach,status
M100000,Fashion,2025-11-13,0.3,0.9,0.7,0.0,2.1,2.6,0,6.6,0,Live
M100001,Electronics,2025-04-15,0.9,2.6,0.9,0.0,1.1,0.7,0,6.2,0,Live
M100002,Beauty,2025-03-19,2.9,1.3,1.4,0.0,0.9,2.1,0,8.7,0,Live
M100003,Fashion,2025-01-06,1.3,0.8,0.6,0.0,1.4,4.6,0,8.7,0,Live
M100004,Home & Kitchen,2025-04-18,2.0,0.8,0.9,0.0,2.1,3.0,0,8.8,0,Live
M100005,Beauty,2025-09-15,2.8,0.3,1.2,0.0,0.9,2.7,0,7.9,0,Live
M100006,Fashion,2025-05-01,1.7,1.0,2.0,0.0,2.6,1.6,0,8.8,0,Live
M100007,Fashion,2025-02-26,0.9,0.6,0.6,0.0,1.4,2.4,0,5.9,0,Live
M100008,Fashion,2025-07-17,1.1,1.0,0.5,0.0,0.9,2.5,0,6.0,0,Live
M100009,Home & Kitchen,2025-09-06,0.7,4.2,0.2,0.0,0.7,2.5,0,8.3,0,Live
M100010,Home & Kitchen,2025-02-04,2.7,1.7,1.2,0.0,5.5,4.7,0,15.8,1,Live
M100011,Fashion,2025-01-18,1.5,1.1,1.4,0.0,0.4,3.3,0,7.6,0,Live
M100012,Electronics,2025-09-29,1.2,0.3,2.3,0.0,0.7,2.6,0,7.1,0,Live
M100013,Home & Kitchen,2025-02-01,0.6,0.8,1.7,5.1,1.2,3.6,3,13.1,0,Live
M100014,Electronics,2025-10-15,0.6,3.3,1.4,0.0,0.7,2.3,0,8.4,0,Live
M100015,Home & Kitchen,2025-02-08,1.9,1.9,1.2,0.0,1.0,2.3,0,8.3,0,Live
M100016,Toys,2025-01-13,0.7,0.7,0.3,0.0,0.7,0.5,0,2.8,0,Live
M100017,Beauty,2025-02-17,0.8,4.5,1.7,0.0,0.4,2.6,0,9.9,0,Live
M100018,Electronics,2025-03-04,1.0,1.9,0.6,0.0,2.0,1.9,0,7.4,0,Live
M100019,Fashion,2025-09-25,1.6,2.7,0.5,0.0,0.7,1.5,0,7.0,0,Live
M100020,Electronics,2025-02-10,1.9,2.1,4.3,0.0,1.8,2.1,0,12.2,0,Live
M100021,Home & Kitchen,2025-01-09,0.6,1.2,1.5,0.0,1.2,4.8,0,9.3,0,Live
M100022,Grocery,2025-02-06,0.7,1.2,0.8,0.0,1.2,2.9,0,6.7,0,Live
M100023,Beauty,2025-04-11,1.6,1.1,1.1,0.0,2.6,3.7,0,10.1,0,Live
M100024,Electronics,2025-08-17,0.7,6.2,0.9,0.0,1.9,2.6,0,12.4,0,Live
M100025,Toys,2025-07-01,0.4,1.3,1.5,0.0,2.5,0.5,0,6.3,0,Live
M100026,Electronics,2025-11-10,0.5,1.1,2.2,2.1,1.2,1.1,3,8.2,0,Live
M100027,Beauty,2025-06-26,0.9,0.3,1.2,0.0,2.3,1.8,0,6.5,0,Live
M100028,Fashion,2025-06-24,0.6,0.9,0.1,0.0,0.7,0.8,0,3.1,0,Live
M100029,Fashion,2025-08-12,0.4,1.2,2.3,0.0,0.4,1.4,0,5.6,0,Live
M100030,Fashion,2025-01-10,0.9,3.4,0.5,0.0,0.3,1.7,0,6.8,0,Live
M100031,Grocery,2025-06-27,1.4,0.4,1.3,0.0,0.5,2.8,0,6.3,0,Live
M100032,Home & Kitchen,2025-09-03,0.8,1.2,0.5,0.0,0.7,2.5,0,5.8,0,Live
M100033,Grocery,2025-02-14,1.6,1.3,0.5,0.0,1.6,4.0,0,9.1,0,Live
M100034,Home & Kitchen,2025-09-08,0.1,0.8,0.8,0.0,2.7,0.3,0,4.8,0,Live
M100035,Electronics,2025-01-26,0.5,1.2,1.6,0.0,1.4,2.8,0,7.5,0,Live
M100036,Home & Kitchen,2025-09-04,2.2,1.0,0.4,0.0,1.4,1.6,0,6.6,0,Live
M100037,Home & Kitchen,2025-09-14,2.8,1.8,1.2,0.0,3.1,4.1,0,13.0,0,Live
M100038,Grocery,2025-09-19,1.2,1.4,0.7,0.0,1.2,3.7,0,8.3,0,Live
M100039,Electronics,2025-04-05,1.7,1.0,1.1,0.0,2.5,0.8,0,7.1,0,Live
M100040,Grocery,2025-02-18,1.2,1.3,1.9,0.0,3.9,1.7,0,10.0,0,Live
M100041,Home & Kitchen,2025-02-19,1.1,1.0,0.3,3.6,1.2,1.8,3,9.0,0,Live
M100042,Grocery,2025-04-22,0.3,0.6,2.3,0.0,2.2,3.0,0,8.4,0,Live
M100043,Electronics,2025-04-06,1.3,2.5,0.3,0.0,1.2,2.4,0,7.6,0,Live
M100044,Beauty,2025-03-10,1.5,0.3,0.3,0.0,1.3,2.0,0,5.5,0,Live
M100045,Electronics,2025-02-11,0.5,1.6,0.1,0.0,1.6,2.1,0,5.9,0,Live
M100046,Home & Kitchen,2025-09-30,2.4,0.6,1.0,0.0,1.6,3.8,0,9.4,0,Live
M100047,Fashion,2025-09-10,1.5,1.1,1.0,0.0,1.8,3.1,0,8.6,0,Live
M100048,Fashion,2025-06-05,0.4,0.4,1.6,0.0,1.1,2.0,0,5.6,0,Live
M100049,Fashion,2025-03-12,1.9,0.8,0.2,0.0,1.6,2.1,0,6.7,0,Live
M100050,Beauty,2025-02-26,1.4,1.1,3.4,0.0,1.3,3.0,0,10.1,0,Live
M100051,Electronics,2025-07-12,1.0,1.8,0.3,0.0,1.0,2.9,0,7.0,0,Live
M100052,Grocery,2025-06-29,3.0,2.3,1.0,0.0,2.3,3.0,0,11.6,0,Live
M100053,Grocery,2025-05-17,0.8,0.3,2.4,2.7,1.5,0.7,3,8.3,0,Live
M100054,Electronics,2025-03-28,1.4,1.4,1.3,0.0,1.6,1.6,0,7.3,0,Live
M100055,Toys,2025-07-10,1.5,1.8,1.0,0.0,2.2,3.9,0,10.5,0,Live
M100056,Home & Kitchen,2025-02-07,1.0,2.1,1.6,0.0,0.6,3.2,0,8.5,0,Live
M100057,Beauty,2025-11-03,0.5,4.4,1.3,0.0,0.9,3.4,0,10.6,0,Live
M100058,Electronics,2025-04-07,0.6,1.8,1.4,0.0,2.0,0.9,0,6.7,0,Live
M100059,Fashion,2025-06-10,1.2,1.4,2.6,0.0,1.3,3.3,0,9.9,0,Live
M100060,Fashion,2025-10-06,2.4,2.2,1.7,0.0,1.1,2.3,0,9.8,0,Live
M100061,Fashion,2025-02-14,1.0,0.1,1.2,0.0,1.7,3.0,0,7.0,0,Live
M100062,Home & Kitchen,2025-02-23,1.4,1.0,2.2,0.0,1.3,2.1,0,8.0,0,Live
M100063,Fashion,2025-08-16,0.7,2.6,1.0,0.0,1.4,2.6,0,8.3,0,Live
M100064,Fashion,2025-08-14,0.7,1.6,0.3,0.0,0.9,2.6,0,6.0,0,Live
M100065,Grocery,2025-04-12,1.6,0.8,1.2,0.0,2.6,0.8,0,6.9,0,Live
M100066,Fashion,2025-07-19,0.5,2.7,1.2,0.0,1.6,2.0,0,7.9,0,Live
M100067,Electronics,2025-03-28,0.6,3.0,0.8,0.0,1.6,1.7,0,7.7,0,Live
M100068,Electronics,2025-06-23,1.2,2.5,0.9,0.0,1.1,3.3,0,9.0,0,Live
M100069,Home & Kitchen,2025-09-28,2.8,2.0,1.0,0.0,0.7,0.8,0,7.3,0,Live
