week,applications,avg_ttm_days,sla_breach_pct,stuck_accounts
2024-12-30/2025-01-05,18,15.77,0.44,3
2025-01-06/2025-01-12,30,14.22,0.47,2
2025-01-13/2025-01-19,43,14.71,0.42,2
2025-01-20/2025-01-26,26,13.62,0.5,2
2025-01-27/2025-02-02,32,13.46,0.41,1
2025-02-03/2025-02-09,34,14.45,0.44,0
2025-02-10/2025-02-16,35,14.29,0.49,2
2025-02-17/2025-02-23,32,15.36,0.53,2
2025-02-24/2025-03-02,34,13.33,0.38,1
2025-03-03/2025-03-09,29,12.63,0.31,0
2025-03-10/2025-03-16,42,13.07,0.36,1
2025-03-17/2025-03-23,31,13.2,0.35,0
2025-03-24/2025-03-30,29,15.04,0.52,1
2025-03-31/2025-04-06,30,12.4,0.3,0
2025-04-07/2025-04-13,28,15.42,0.54,1
2025-04-14/2025-04-20,38,15.04,0.55,0
2025-04-21/2025-04-27,29,13.58,0.45,1
2025-04-28/2025-05-04,35,13.97,0.37,1
2025-05-05/2025-05-11,28,13.79,0.43,0
2025-05-12/2025-05-18,30,13.83,0.43,0
2025-05-19/2025-05-25,46,14.7,0.5,1
2025-05-26/2025-06-01,31,13.63,0.32,2
2025-06-02/2025-06-08,28,13.25,0.32,0
2025-06-09/2025-06-15,32,13.64,0.5,0
2025-06-16/2025-06-22,34,14.55,0.5,1
2025-06-23/2025-06-29,32,15.68,0.47,3
2025-06-30/2025-07-06,35,15.29,0.6,1
2025-07-07/2025-07-13,35,14.19,0.49,1
2025-07-14/2025-07-20,27,16.05,0.7,1
2025-07-21/2025-07-27,28,15.24,0.39,1
2025-07-28/2025-08-03,30,13.75,0.5,1
2025-08-04/2025-08-10,30,14.37,0.5,1
2025-08-11/2025-08-17,27,14.77,0.48,0
2025-08-18/2025-08-24,32,13.82,0.41,0
2025-08-25/2025-08-31,34,14.21,0.5,1
2025-09-01/2025-09-07,33,13.94,0.45,1
2025-09-08/2025-09-14,27,13.66,0.37,1
2025-09-15/2025-09-21,26,14.72,0.54,1
2025-09-22/2025-09-28,38,15.62,0.61,1
2025-09-29/2025-10-05,28,14.64,0.43,0
2025-10-06/2025-10-12,26,12.62,0.35,0
2025-10-13/2025-10-19,28,14.9,0.5,1
2025-10-20/2025-10-26,31,15.3,0.61,2
2025-10-27/2025-11-02,33,14.62,0.52,2
2025-11-03/2025-11-09,33,13.34,0.39,0
2025-11-10/2025-11-16,30,15.79,0.57,1
2025-11-17/2025-11-23,38,12.72,0.37,0
2025-11-24/2025-11-30,15,12.06,0.13,0
